Pavarde      Vardas      Galutinis-vidurkis  Galutinis-mediana  

Kietiakai : 

Pavarde1000  Vardas1000  7.72                8.60               
Pavarde101   Vardas101   5.80                5.80               
Pavarde103   Vardas103   8.08                8.40               
Pavarde104   Vardas104   7.32                7.00               
Pavarde105   Vardas105   5.24                4.60               
Pavarde107   Vardas107   5.24                5.80               
Pavarde108   Vardas108   6.84                6.60               
Pavarde11    Vardas11    6.24                5.60               
Pavarde110   Vardas110   7.64                7.40               
Pavarde111   Vardas111   8.28                8.20               
Pavarde112   Vardas112   6.76                6.20               
Pavarde113   Vardas113   5.36                5.60               
Pavarde114   Vardas114   6.00                6.00               
Pavarde115   Vardas115   5.44                5.20               
Pavarde116   Vardas116   5.92                6.00               
Pavarde117   Vardas117   6.28                6.60               
Pavarde119   Vardas119   5.88                5.80               
Pavarde120   Vardas120   6.64                7.20               
Pavarde121   Vardas121   7.92                8.00               
Pavarde125   Vardas125   7.84                7.20               
Pavarde128   Vardas128   5.36                5.20               
Pavarde13    Vardas13    6.60                6.60               
Pavarde133   Vardas133   6.60                6.60               
Pavarde137   Vardas137   5.08                4.20               
Pavarde14    Vardas14    5.32                5.80               
Pavarde140   Vardas140   5.56                5.80               
Pavarde141   Vardas141   8.08                8.40               
Pavarde142   Vardas142   5.88                6.20               
Pavarde143   Vardas143   8.48                8.80               
Pavarde145   Vardas145   8.48                8.80               
Pavarde146   Vardas146   5.68                6.00               
Pavarde148   Vardas148   5.72                5.40               
Pavarde15    Vardas15    7.76                7.60               
Pavarde150   Vardas150   7.08                7.00               
Pavarde151   Vardas151   6.20                5.80               
Pavarde153   Vardas153   7.52                7.60               
Pavarde154   Vardas154   8.28                8.20               
Pavarde155   Vardas155   8.44                9.00               
Pavarde158   Vardas158   5.96                6.20               
Pavarde159   Vardas159   7.04                7.20               
Pavarde16    Vardas16    5.08                5.00               
Pavarde160   Vardas160   6.60                7.40               
Pavarde164   Vardas164   8.00                7.60               
Pavarde165   Vardas165   5.04                4.80               
Pavarde166   Vardas166   6.56                6.40               
Pavarde167   Vardas167   6.36                7.00               
Pavarde168   Vardas168   5.92                6.00               
Pavarde169   Vardas169   5.52                5.60               
Pavarde17    Vardas17    7.36                7.60               
Pavarde170   Vardas170   6.12                5.80               
Pavarde171   Vardas171   6.04                6.20               
Pavarde172   Vardas172   5.00                5.40               
Pavarde175   Vardas175   7.40                7.40               
Pavarde176   Vardas176   6.00                6.80               
Pavarde178   Vardas178   8.08                8.00               
Pavarde179   Vardas179   7.48                7.80               
Pavarde186   Vardas186   5.76                6.00               
Pavarde189   Vardas189   6.08                6.00               
Pavarde190   Vardas190   6.28                5.80               
Pavarde195   Vardas195   8.88                10.00              
Pavarde197   Vardas197   6.88                7.20               
Pavarde20    Vardas20    5.48                5.40               
Pavarde201   Vardas201   6.48                6.40               
Pavarde202   Vardas202   5.28                4.40               
Pavarde204   Vardas204   7.84                7.60               
Pavarde205   Vardas205   7.76                7.60               
Pavarde206   Vardas206   6.76                6.20               
Pavarde207   Vardas207   5.68                5.20               
Pavarde21    Vardas21    7.88                8.20               
Pavarde210   Vardas210   5.44                5.20               
Pavarde212   Vardas212   6.76                6.60               
Pavarde213   Vardas213   7.68                7.20               
Pavarde215   Vardas215   7.52                7.60               
Pavarde216   Vardas216   7.12                6.80               
Pavarde217   Vardas217   7.72                7.40               
Pavarde218   Vardas218   6.00                5.20               
Pavarde22    Vardas22    7.36                6.40               
Pavarde220   Vardas220   7.68                7.20               
Pavarde222   Vardas222   6.24                6.00               
Pavarde224   Vardas224   7.60                7.60               
Pavarde225   Vardas225   7.92                7.20               
Pavarde226   Vardas226   5.72                5.80               
Pavarde229   Vardas229   6.96                6.40               
Pavarde23    Vardas23    5.68                5.60               
Pavarde230   Vardas230   6.84                6.60               
Pavarde231   Vardas231   7.60                7.20               
Pavarde232   Vardas232   5.80                6.20               
Pavarde233   Vardas233   5.88                6.20               
Pavarde237   Vardas237   6.80                6.80               
Pavarde238   Vardas238   8.48                8.80               
Pavarde240   Vardas240   5.28                5.60               
Pavarde241   Vardas241   6.24                6.40               
Pavarde243   Vardas243   8.80                9.20               
Pavarde246   Vardas246   7.72                8.20               
Pavarde248   Vardas248   7.96                8.20               
Pavarde249   Vardas249   5.48                5.00               
Pavarde25    Vardas25    7.60                7.20               
Pavarde252   Vardas252   5.80                5.80               
Pavarde253   Vardas253   8.20                8.20               
Pavarde254   Vardas254   7.64                7.40               
Pavarde255   Vardas255   6.04                6.60               
Pavarde256   Vardas256   6.60                7.00               
Pavarde26    Vardas26    7.88                8.20               
Pavarde263   Vardas263   8.08                8.00               
Pavarde266   Vardas266   5.04                4.80               
Pavarde268   Vardas268   5.64                5.00               
Pavarde27    Vardas27    7.60                7.60               
Pavarde270   Vardas270   5.60                6.40               
Pavarde271   Vardas271   8.16                8.40               
Pavarde272   Vardas272   6.16                6.40               
Pavarde274   Vardas274   6.92                7.80               
Pavarde275   Vardas275   7.16                7.00               
Pavarde276   Vardas276   6.36                6.60               
Pavarde278   Vardas278   6.56                6.40               
Pavarde279   Vardas279   5.44                6.00               
Pavarde28    Vardas28    5.84                6.00               
Pavarde280   Vardas280   5.20                5.60               
Pavarde281   Vardas281   5.40                5.80               
Pavarde286   Vardas286   6.00                5.60               
Pavarde287   Vardas287   6.44                6.60               
Pavarde289   Vardas289   5.36                5.60               
Pavarde290   Vardas290   5.84                5.20               
Pavarde291   Vardas291   6.24                5.60               
Pavarde292   Vardas292   8.60                9.00               
Pavarde293   Vardas293   6.88                6.80               
Pavarde294   Vardas294   5.80                5.80               
Pavarde297   Vardas297   6.08                6.40               
Pavarde299   Vardas299   6.72                7.20               
Pavarde3     Vardas3     6.96                7.20               
Pavarde300   Vardas300   9.28                9.60               
Pavarde306   Vardas306   6.92                6.60               
Pavarde308   Vardas308   6.04                5.80               
Pavarde311   Vardas311   7.56                7.80               
Pavarde313   Vardas313   7.24                7.40               
Pavarde314   Vardas314   5.76                5.60               
