Pavarde     Vardas     Galutinis-vidurkis  Galutinis-mediana  

Kietiakai : 

Pavarde1    Vardas1    6.52                7.00               
Pavarde10   Vardas10   5.40                6.20               
Pavarde12   Vardas12   7.76                8.40               
Pavarde14   Vardas14   7.48                7.40               
Pavarde15   Vardas15   8.48                8.00               
Pavarde17   Vardas17   7.88                7.80               
Pavarde2    Vardas2    7.64                8.20               
Pavarde20   Vardas20   5.36                5.60               
Pavarde21   Vardas21   8.80                9.20               
Pavarde22   Vardas22   8.04                8.20               
Pavarde23   Vardas23   5.52                6.00               
Pavarde24   Vardas24   7.00                6.60               
Pavarde25   Vardas25   6.04                6.20               
Pavarde26   Vardas26   5.28                5.20               
Pavarde27   Vardas27   5.84                6.80               
Pavarde30   Vardas30   5.04                5.20               
Pavarde33   Vardas33   6.48                6.40               
Pavarde34   Vardas34   5.48                5.00               
Pavarde36   Vardas36   7.56                7.80               
Pavarde37   Vardas37   5.28                6.00               
Pavarde39   Vardas39   6.64                6.40               
Pavarde4    Vardas4    6.04                6.20               
Pavarde40   Vardas40   6.88                7.20               
Pavarde41   Vardas41   7.16                7.00               
Pavarde42   Vardas42   6.68                7.00               
Pavarde47   Vardas47   5.96                6.20               
Pavarde48   Vardas48   6.40                6.40               
Pavarde49   Vardas49   5.92                5.60               
Pavarde5    Vardas5    7.20                7.20               
Pavarde50   Vardas50   8.48                8.80               
Pavarde51   Vardas51   5.48                5.40               
Pavarde54   Vardas54   5.92                5.60               
Pavarde55   Vardas55   7.56                7.00               
Pavarde60   Vardas60   7.04                6.80               
Pavarde62   Vardas62   8.24                8.40               
Pavarde63   Vardas63   7.52                7.60               
Pavarde67   Vardas67   5.00                5.00               
Pavarde69   Vardas69   5.76                6.00               
Pavarde7    Vardas7    5.84                5.60               
Pavarde70   Vardas70   5.20                5.20               
Pavarde71   Vardas71   7.12                6.80               
Pavarde72   Vardas72   5.20                4.80               
Pavarde76   Vardas76   6.48                6.00               
Pavarde78   Vardas78   5.04                4.80               
Pavarde80   Vardas80   5.84                6.00               
Pavarde82   Vardas82   5.60                5.60               
Pavarde84   Vardas84   5.20                4.40               
Pavarde85   Vardas85   6.16                5.60               
Pavarde86   Vardas86   9.20                9.60               
Pavarde90   Vardas90   5.92                6.40               
Pavarde91   Vardas91   5.76                6.00               
Pavarde92   Vardas92   6.88                6.80               
Pavarde93   Vardas93   7.72                8.20               
Pavarde95   Vardas95   5.72                5.80               
Pavarde98   Vardas98   7.00                6.20               

Vargseliai : 

Pavarde100  Vardas100  4.68                5.40               
Pavarde11   Vardas11   4.00                3.60               
Pavarde13   Vardas13   2.72                2.80               
Pavarde16   Vardas16   3.92                3.20               
Pavarde18   Vardas18   3.40                3.40               
Pavarde19   Vardas19   4.40                4.40               
Pavarde28   Vardas28   2.56                2.40               
Pavarde29   Vardas29   3.88                3.80               
Pavarde3    Vardas3    4.76                4.60               
Pavarde31   Vardas31   4.68                4.60               
Pavarde32   Vardas32   4.80                4.40               
Pavarde35   Vardas35   2.28                2.20               
Pavarde38   Vardas38   4.48                4.40               
Pavarde43   Vardas43   3.20                2.80               
Pavarde44   Vardas44   4.00                3.20               
Pavarde45   Vardas45   2.52                2.20               
Pavarde46   Vardas46   4.40                4.40               
Pavarde52   Vardas52   2.92                2.60               
Pavarde53   Vardas53   4.12                4.60               
Pavarde56   Vardas56   2.72                2.00               
Pavarde57   Vardas57   4.68                5.00               
Pavarde58   Vardas58   3.00                2.60               
Pavarde59   Vardas59   4.76                4.60               
Pavarde6    Vardas6    4.24                4.40               
Pavarde61   Vardas61   3.56                3.40               
Pavarde64   Vardas64   3.64                3.40               
Pavarde65   Vardas65   3.00                4.20               
Pavarde66   Vardas66   3.16                3.00               
Pavarde68   Vardas68   4.56                4.40               
Pavarde73   Vardas73   4.76                4.60               
Pavarde74   Vardas74   1.96                1.40               
Pavarde75   Vardas75   3.68                4.00               
Pavarde77   Vardas77   3.32                3.40               
Pavarde79   Vardas79   4.76                4.60               
Pavarde8    Vardas8    4.52                4.60               
Pavarde81   Vardas81   4.76                5.00               
Pavarde83   Vardas83   2.84                3.00               
Pavarde87   Vardas87   3.92                4.00               
Pavarde88   Vardas88   4.80                5.20               
Pavarde89   Vardas89   3.32                4.20               
Pavarde9    Vardas9    3.76                4.00               
Pavarde94   Vardas94   3.12                3.20               
Pavarde96   Vardas96   4.28                4.60               
Pavarde97   Vardas97   2.48                2.40               
Pavarde99   Vardas99   2.96                2.40               
