Pavarde     Vardas     Galutinis-vidurkis  Galutinis-mediana  Kategorija  
Pavarde1    Vardas1    6.52                7.00               kietiakas   
Pavarde10   Vardas10   5.40                6.20               kietiakas   
Pavarde100  Vardas100  4.68                5.40               vargsiukas  
Pavarde11   Vardas11   4.00                3.60               vargsiukas  
Pavarde12   Vardas12   7.76                8.40               kietiakas   
Pavarde13   Vardas13   2.72                2.80               vargsiukas  
Pavarde14   Vardas14   7.48                7.40               kietiakas   
Pavarde15   Vardas15   8.48                8.00               kietiakas   
Pavarde16   Vardas16   3.92                3.20               vargsiukas  
Pavarde17   Vardas17   7.88                7.80               kietiakas   
Pavarde18   Vardas18   3.40                3.40               vargsiukas  
Pavarde19   Vardas19   4.40                4.40               vargsiukas  
Pavarde2    Vardas2    7.64                8.20               kietiakas   
Pavarde20   Vardas20   5.36                5.60               kietiakas   
Pavarde21   Vardas21   8.80                9.20               kietiakas   
Pavarde22   Vardas22   8.04                8.20               kietiakas   
Pavarde23   Vardas23   5.52                6.00               kietiakas   
Pavarde24   Vardas24   7.00                6.60               kietiakas   
Pavarde25   Vardas25   6.04                6.20               kietiakas   
Pavarde26   Vardas26   5.28                5.20               kietiakas   
Pavarde27   Vardas27   5.84                6.80               kietiakas   
Pavarde28   Vardas28   2.56                2.40               vargsiukas  
Pavarde29   Vardas29   3.88                3.80               vargsiukas  
Pavarde3    Vardas3    4.76                4.60               vargsiukas  
Pavarde30   Vardas30   5.04                5.20               kietiakas   
Pavarde31   Vardas31   4.68                4.60               vargsiukas  
Pavarde32   Vardas32   4.80                4.40               vargsiukas  
Pavarde33   Vardas33   6.48                6.40               kietiakas   
Pavarde34   Vardas34   5.48                5.00               kietiakas   
Pavarde35   Vardas35   2.28                2.20               vargsiukas  
Pavarde36   Vardas36   7.56                7.80               kietiakas   
Pavarde37   Vardas37   5.28                6.00               kietiakas   
Pavarde38   Vardas38   4.48                4.40               vargsiukas  
Pavarde39   Vardas39   6.64                6.40               kietiakas   
Pavarde4    Vardas4    6.04                6.20               kietiakas   
Pavarde40   Vardas40   6.88                7.20               kietiakas   
Pavarde41   Vardas41   7.16                7.00               kietiakas   
Pavarde42   Vardas42   6.68                7.00               kietiakas   
Pavarde43   Vardas43   3.20                2.80               vargsiukas  
Pavarde44   Vardas44   4.00                3.20               vargsiukas  
Pavarde45   Vardas45   2.52                2.20               vargsiukas  
Pavarde46   Vardas46   4.40                4.40               vargsiukas  
Pavarde47   Vardas47   5.96                6.20               kietiakas   
Pavarde48   Vardas48   6.40                6.40               kietiakas   
Pavarde49   Vardas49   5.92                5.60               kietiakas   
Pavarde5    Vardas5    7.20                7.20               kietiakas   
Pavarde50   Vardas50   8.48                8.80               kietiakas   
Pavarde51   Vardas51   5.48                5.40               kietiakas   
Pavarde52   Vardas52   2.92                2.60               vargsiukas  
Pavarde53   Vardas53   4.12                4.60               vargsiukas  
Pavarde54   Vardas54   5.92                5.60               kietiakas   
Pavarde55   Vardas55   7.56                7.00               kietiakas   
Pavarde56   Vardas56   2.72                2.00               vargsiukas  
Pavarde57   Vardas57   4.68                5.00               vargsiukas  
Pavarde58   Vardas58   3.00                2.60               vargsiukas  
Pavarde59   Vardas59   4.76                4.60               vargsiukas  
Pavarde6    Vardas6    4.24                4.40               vargsiukas  
Pavarde60   Vardas60   7.04                6.80               kietiakas   
Pavarde61   Vardas61   3.56                3.40               vargsiukas  
Pavarde62   Vardas62   8.24                8.40               kietiakas   
Pavarde63   Vardas63   7.52                7.60               kietiakas   
Pavarde64   Vardas64   3.64                3.40               vargsiukas  
Pavarde65   Vardas65   3.00                4.20               vargsiukas  
