Pavarde      Vardas      Galutinis-vidurkis  Galutinis-mediana  Kategorija  
Pavarde1     Vardas1     4.76                5.00               vargsiukas  
Pavarde10    Vardas10    3.84                4.00               vargsiukas  
Pavarde100   Vardas100   3.52                3.60               vargsiukas  
Pavarde1000  Vardas1000  7.72                8.60               kietiakas   
Pavarde101   Vardas101   5.80                5.80               kietiakas   
Pavarde102   Vardas102   4.00                4.00               vargsiukas  
Pavarde103   Vardas103   8.08                8.40               kietiakas   
Pavarde104   Vardas104   7.32                7.00               kietiakas   
Pavarde105   Vardas105   5.24                4.60               kietiakas   
Pavarde106   Vardas106   1.96                1.80               vargsiukas  
Pavarde107   Vardas107   5.24                5.80               kietiakas   
Pavarde108   Vardas108   6.84                6.60               kietiakas   
Pavarde109   Vardas109   2.36                1.80               vargsiukas  
Pavarde11    Vardas11    6.24                5.60               kietiakas   
Pavarde110   Vardas110   7.64                7.40               kietiakas   
Pavarde111   Vardas111   8.28                8.20               kietiakas   
Pavarde112   Vardas112   6.76                6.20               kietiakas   
Pavarde113   Vardas113   5.36                5.60               kietiakas   
Pavarde114   Vardas114   6.00                6.00               kietiakas   
Pavarde115   Vardas115   5.44                5.20               kietiakas   
Pavarde116   Vardas116   5.92                6.00               kietiakas   
Pavarde117   Vardas117   6.28                6.60               kietiakas   
Pavarde118   Vardas118   4.92                4.60               vargsiukas  
Pavarde119   Vardas119   5.88                5.80               kietiakas   
Pavarde12    Vardas12    4.40                4.80               vargsiukas  
Pavarde120   Vardas120   6.64                7.20               kietiakas   
Pavarde121   Vardas121   7.92                8.00               kietiakas   
Pavarde122   Vardas122   3.60                3.60               vargsiukas  
Pavarde123   Vardas123   4.92                4.20               vargsiukas  
Pavarde124   Vardas124   4.24                4.00               vargsiukas  
Pavarde125   Vardas125   7.84                7.20               kietiakas   
Pavarde126   Vardas126   3.24                3.40               vargsiukas  
Pavarde127   Vardas127   4.80                5.60               vargsiukas  
Pavarde128   Vardas128   5.36                5.20               kietiakas   
Pavarde129   Vardas129   3.64                3.40               vargsiukas  
Pavarde13    Vardas13    6.60                6.60               kietiakas   
Pavarde130   Vardas130   2.48                2.40               vargsiukas  
Pavarde131   Vardas131   4.52                5.40               vargsiukas  
Pavarde132   Vardas132   2.60                2.60               vargsiukas  
Pavarde133   Vardas133   6.60                6.60               kietiakas   
Pavarde134   Vardas134   4.40                3.60               vargsiukas  
Pavarde135   Vardas135   4.24                4.40               vargsiukas  
Pavarde136   Vardas136   2.36                1.80               vargsiukas  
Pavarde137   Vardas137   5.08                4.20               kietiakas   
Pavarde138   Vardas138   3.64                3.80               vargsiukas  
Pavarde139   Vardas139   3.52                3.20               vargsiukas  
Pavarde14    Vardas14    5.32                5.80               kietiakas   
Pavarde140   Vardas140   5.56                5.80               kietiakas   
Pavarde141   Vardas141   8.08                8.40               kietiakas   
Pavarde142   Vardas142   5.88                6.20               kietiakas   
Pavarde143   Vardas143   8.48                8.80               kietiakas   
Pavarde144   Vardas144   3.20                2.80               vargsiukas  
Pavarde145   Vardas145   8.48                8.80               kietiakas   
Pavarde146   Vardas146   5.68                6.00               kietiakas   
Pavarde147   Vardas147   3.40                3.40               vargsiukas  
Pavarde148   Vardas148   5.72                5.40               kietiakas   
Pavarde149   Vardas149   2.36                1.80               vargsiukas  
Pavarde15    Vardas15    7.76                7.60               kietiakas   
Pavarde150   Vardas150   7.08                7.00               kietiakas   
Pavarde151   Vardas151   6.20                5.80               kietiakas   
Pavarde152   Vardas152   3.64                4.20               vargsiukas  
Pavarde153   Vardas153   7.52                7.60               kietiakas   
Pavarde154   Vardas154   8.28                8.20               kietiakas   
Pavarde155   Vardas155   8.44                9.00               kietiakas   
Pavarde156   Vardas156   2.92                3.80               vargsiukas  
Pavarde157   Vardas157   4.36                4.20               vargsiukas  
Pavarde158   Vardas158   5.96                6.20               kietiakas   
Pavarde159   Vardas159   7.04                7.20               kietiakas   
Pavarde16    Vardas16    5.08                5.00               kietiakas   
Pavarde160   Vardas160   6.60                7.40               kietiakas   
Pavarde161   Vardas161   2.56                2.40               vargsiukas  
Pavarde162   Vardas162   4.64                4.80               vargsiukas  
Pavarde163   Vardas163   4.80                4.80               vargsiukas  
Pavarde164   Vardas164   8.00                7.60               kietiakas   
Pavarde165   Vardas165   5.04                4.80               kietiakas   
Pavarde166   Vardas166   6.56                6.40               kietiakas   
Pavarde167   Vardas167   6.36                7.00               kietiakas   
Pavarde168   Vardas168   5.92                6.00               kietiakas   
Pavarde169   Vardas169   5.52                5.60               kietiakas   
Pavarde17    Vardas17    7.36                7.60               kietiakas   
Pavarde170   Vardas170   6.12                5.80               kietiakas   
Pavarde171   Vardas171   6.04                6.20               kietiakas   
Pavarde172   Vardas172   5.00                5.40               kietiakas   
Pavarde173   Vardas173   3.64                4.20               vargsiukas  
Pavarde174   Vardas174   4.92                4.20               vargsiukas  
Pavarde175   Vardas175   7.40                7.40               kietiakas   
Pavarde176   Vardas176   6.00                6.80               kietiakas   
Pavarde177   Vardas177   4.96                4.80               vargsiukas  
Pavarde178   Vardas178   8.08                8.00               kietiakas   
Pavarde179   Vardas179   7.48                7.80               kietiakas   
Pavarde18    Vardas18    4.08                4.00               vargsiukas  
Pavarde180   Vardas180   3.40                3.00               vargsiukas  
Pavarde181   Vardas181   3.16                3.00               vargsiukas  
Pavarde182   Vardas182   4.56                4.00               vargsiukas  
Pavarde183   Vardas183   2.88                2.40               vargsiukas  
