Pavarde       Vardas       Galutinis-vidurkis  Galutinis-mediana  Kategorija  
Pavarde1      Vardas1      5.36                5.60               kietiakas   
Pavarde10     Vardas10     8.04                8.60               kietiakas   
Pavarde100    Vardas100    3.24                3.80               vargsiukas  
Pavarde1000   Vardas1000   8.40                8.80               kietiakas   
Pavarde10000  Vardas10000  6.44                6.20               kietiakas   
Pavarde1001   Vardas1001   5.24                4.60               kietiakas   
Pavarde1002   Vardas1002   5.64                5.40               kietiakas   
Pavarde1003   Vardas1003   4.44                3.40               vargsiukas  
Pavarde1004   Vardas1004   3.36                2.80               vargsiukas  
Pavarde1005   Vardas1005   8.24                8.00               kietiakas   
Pavarde1006   Vardas1006   8.56                8.80               kietiakas   
Pavarde1007   Vardas1007   6.32                6.00               kietiakas   
Pavarde1008   Vardas1008   5.76                5.20               kietiakas   
Pavarde1009   Vardas1009   6.04                5.80               kietiakas   
Pavarde101    Vardas101    2.40                2.00               vargsiukas  
Pavarde1010   Vardas1010   6.80                7.60               kietiakas   
Pavarde1011   Vardas1011   6.64                6.80               kietiakas   
Pavarde1012   Vardas1012   7.88                8.20               kietiakas   
Pavarde1013   Vardas1013   2.32                2.40               vargsiukas  
Pavarde1014   Vardas1014   6.24                6.00               kietiakas   
Pavarde1015   Vardas1015   4.28                3.80               vargsiukas  
Pavarde1016   Vardas1016   6.20                6.60               kietiakas   
Pavarde1017   Vardas1017   1.80                1.80               vargsiukas  
Pavarde1018   Vardas1018   4.20                5.00               vargsiukas  
Pavarde1019   Vardas1019   7.64                7.40               kietiakas   
Pavarde102    Vardas102    7.56                7.00               kietiakas   
Pavarde1020   Vardas1020   8.04                8.60               kietiakas   
Pavarde1021   Vardas1021   3.68                4.00               vargsiukas  
Pavarde1022   Vardas1022   3.52                4.00               vargsiukas  
Pavarde1023   Vardas1023   7.12                7.60               kietiakas   
Pavarde1024   Vardas1024   6.64                6.00               kietiakas   
Pavarde1025   Vardas1025   3.52                3.60               vargsiukas  
Pavarde1026   Vardas1026   3.16                3.00               vargsiukas  
Pavarde1027   Vardas1027   8.04                8.20               kietiakas   
Pavarde1028   Vardas1028   3.52                2.80               vargsiukas  
Pavarde1029   Vardas1029   7.56                7.40               kietiakas   
Pavarde103    Vardas103    2.84                2.20               vargsiukas  
Pavarde1030   Vardas1030   6.20                6.20               kietiakas   
Pavarde1031   Vardas1031   5.08                5.00               kietiakas   
Pavarde1032   Vardas1032   4.52                4.60               vargsiukas  
Pavarde1033   Vardas1033   5.08                5.40               kietiakas   
Pavarde1034   Vardas1034   4.00                4.00               vargsiukas  
Pavarde1035   Vardas1035   5.92                5.60               kietiakas   
Pavarde1036   Vardas1036   6.32                6.40               kietiakas   
Pavarde1037   Vardas1037   7.72                7.80               kietiakas   
Pavarde1038   Vardas1038   5.48                5.40               kietiakas   
Pavarde1039   Vardas1039   3.28                3.20               vargsiukas  
Pavarde104    Vardas104    3.92                3.60               vargsiukas  
Pavarde1040   Vardas1040   4.52                5.00               vargsiukas  
Pavarde1041   Vardas1041   5.48                5.40               kietiakas   
Pavarde1042   Vardas1042   5.68                5.60               kietiakas   
Pavarde1043   Vardas1043   5.40                5.40               kietiakas   
Pavarde1044   Vardas1044   7.56                7.40               kietiakas   
Pavarde1045   Vardas1045   4.56                4.80               vargsiukas  
Pavarde1046   Vardas1046   6.04                6.20               kietiakas   
Pavarde1047   Vardas1047   3.12                3.20               vargsiukas  
Pavarde1048   Vardas1048   5.92                6.80               kietiakas   
Pavarde1049   Vardas1049   3.88                3.80               vargsiukas  
Pavarde105    Vardas105    5.28                5.60               kietiakas   
Pavarde1050   Vardas1050   6.48                6.40               kietiakas   
Pavarde1051   Vardas1051   1.80                1.40               vargsiukas  
Pavarde1052   Vardas1052   4.56                4.40               vargsiukas  
Pavarde1053   Vardas1053   5.24                5.80               kietiakas   
Pavarde1054   Vardas1054   4.92                4.60               vargsiukas  
Pavarde1055   Vardas1055   6.12                6.20               kietiakas   
Pavarde1056   Vardas1056   4.56                4.40               vargsiukas  
Pavarde1057   Vardas1057   2.36                2.20               vargsiukas  
Pavarde1058   Vardas1058   7.96                7.80               kietiakas   
Pavarde1059   Vardas1059   3.60                3.60               vargsiukas  
Pavarde106    Vardas106    5.20                5.20               kietiakas   
Pavarde1060   Vardas1060   3.28                2.80               vargsiukas  
Pavarde1061   Vardas1061   5.28                5.20               kietiakas   
Pavarde1062   Vardas1062   6.28                6.20               kietiakas   
Pavarde1063   Vardas1063   3.56                3.80               vargsiukas  
Pavarde1064   Vardas1064   2.84                2.60               vargsiukas  
Pavarde1065   Vardas1065   5.52                6.00               kietiakas   
Pavarde1066   Vardas1066   7.52                7.60               kietiakas   
Pavarde1067   Vardas1067   7.40                7.40               kietiakas   
Pavarde1068   Vardas1068   7.40                7.80               kietiakas   
Pavarde1069   Vardas1069   7.60                6.80               kietiakas   
Pavarde107    Vardas107    5.64                6.20               kietiakas   
Pavarde1070   Vardas1070   8.20                8.20               kietiakas   
Pavarde1071   Vardas1071   6.40                6.40               kietiakas   
Pavarde1072   Vardas1072   6.44                5.80               kietiakas   
Pavarde1073   Vardas1073   3.56                3.00               vargsiukas  
Pavarde1074   Vardas1074   7.88                8.60               kietiakas   
Pavarde1075   Vardas1075   4.04                4.60               vargsiukas  
Pavarde1076   Vardas1076   3.08                2.60               vargsiukas  
Pavarde1077   Vardas1077   4.64                4.40               vargsiukas  
Pavarde1078   Vardas1078   3.36                2.80               vargsiukas  
Pavarde1079   Vardas1079   7.44                7.60               kietiakas   
Pavarde108    Vardas108    8.76                9.00               kietiakas   
Pavarde1080   Vardas1080   8.20                8.20               kietiakas   
Pavarde1081   Vardas1081   8.52                9.00               kietiakas   
Pavarde1082   Vardas1082   5.40                5.40               kietiakas   
Pavarde1083   Vardas1083   5.88                6.20               kietiakas   
Pavarde1084   Vardas1084   3.12                2.80               vargsiukas  
Pavarde1085   Vardas1085   3.84                3.60               vargsiukas  
Pavarde1086   Vardas1086   6.12                5.80               kietiakas   
Pavarde1087   Vardas1087   6.84                7.00               kietiakas   
Pavarde1088   Vardas1088   7.68                7.60               kietiakas   
Pavarde1089   Vardas1089   2.96                2.80               vargsiukas  
Pavarde109    Vardas109    3.00                3.40               vargsiukas  
Pavarde1090   Vardas1090   6.32                6.40               kietiakas   
Pavarde1091   Vardas1091   4.04                4.60               vargsiukas  
Pavarde1092   Vardas1092   8.24                8.00               kietiakas   
Pavarde1093   Vardas1093   8.04                7.80               kietiakas   
Pavarde1094   Vardas1094   7.64                7.40               kietiakas   
Pavarde1095   Vardas1095   5.40                5.40               kietiakas   
Pavarde1096   Vardas1096   5.44                5.20               kietiakas   
Pavarde1097   Vardas1097   4.44                4.60               vargsiukas  
Pavarde1098   Vardas1098   1.80                2.20               vargsiukas  
Pavarde1099   Vardas1099   4.60                4.60               vargsiukas  
Pavarde11     Vardas11     4.84                5.00               vargsiukas  
Pavarde110    Vardas110    9.20                9.60               kietiakas   
Pavarde1100   Vardas1100   6.52                6.60               kietiakas   
Pavarde1101   Vardas1101   3.60                3.60               vargsiukas  
Pavarde1102   Vardas1102   6.12                5.80               kietiakas   
Pavarde1103   Vardas1103   3.52                3.60               vargsiukas  
Pavarde1104   Vardas1104   7.00                7.40               kietiakas   
Pavarde1105   Vardas1105   7.92                8.00               kietiakas   
Pavarde1106   Vardas1106   4.40                4.40               vargsiukas  
Pavarde1107   Vardas1107   7.56                7.80               kietiakas   
Pavarde1108   Vardas1108   5.72                5.80               kietiakas   
Pavarde1109   Vardas1109   6.32                6.40               kietiakas   
Pavarde111    Vardas111    5.32                5.00               kietiakas   
Pavarde1110   Vardas1110   3.80                3.40               vargsiukas  
Pavarde1111   Vardas1111   7.48                7.40               kietiakas   
Pavarde1112   Vardas1112   3.20                2.80               vargsiukas  
Pavarde1113   Vardas1113   5.08                5.00               kietiakas   
Pavarde1114   Vardas1114   6.80                7.20               kietiakas   
Pavarde1115   Vardas1115   3.56                3.80               vargsiukas  
Pavarde1116   Vardas1116   4.84                5.00               vargsiukas  
Pavarde1117   Vardas1117   5.60                5.20               kietiakas   
Pavarde1118   Vardas1118   4.00                4.00               vargsiukas  
Pavarde1119   Vardas1119   3.92                4.00               vargsiukas  
Pavarde112    Vardas112    6.44                6.20               kietiakas   
Pavarde1120   Vardas1120   5.92                6.00               kietiakas   
Pavarde1121   Vardas1121   3.04                2.00               vargsiukas  
Pavarde1122   Vardas1122   3.40                3.40               vargsiukas  
Pavarde1123   Vardas1123   6.96                6.80               kietiakas   
Pavarde1124   Vardas1124   7.80                8.20               kietiakas   
Pavarde1125   Vardas1125   6.56                6.40               kietiakas   
Pavarde1126   Vardas1126   7.16                6.60               kietiakas   
Pavarde1127   Vardas1127   4.68                4.60               vargsiukas  
Pavarde1128   Vardas1128   5.20                4.80               kietiakas   
Pavarde1129   Vardas1129   8.20                8.20               kietiakas   
Pavarde113    Vardas113    8.08                7.60               kietiakas   
Pavarde1130   Vardas1130   4.44                3.80               vargsiukas  
Pavarde1131   Vardas1131   5.84                6.00               kietiakas   
Pavarde1132   Vardas1132   3.20                3.20               vargsiukas  
Pavarde1133   Vardas1133   7.04                6.40               kietiakas   
Pavarde1134   Vardas1134   4.16                4.80               vargsiukas  
Pavarde1135   Vardas1135   6.44                5.80               kietiakas   
Pavarde1136   Vardas1136   2.04                1.80               vargsiukas  
Pavarde1137   Vardas1137   5.32                6.20               kietiakas   
Pavarde1138   Vardas1138   7.20                6.80               kietiakas   
Pavarde1139   Vardas1139   7.76                8.00               kietiakas   
Pavarde114    Vardas114    3.60                3.60               vargsiukas  
Pavarde1140   Vardas1140   5.20                4.80               kietiakas   
Pavarde1141   Vardas1141   7.72                7.80               kietiakas   
Pavarde1142   Vardas1142   4.00                4.40               vargsiukas  
Pavarde1143   Vardas1143   8.00                8.40               kietiakas   
Pavarde1144   Vardas1144   8.40                8.40               kietiakas   
Pavarde1145   Vardas1145   3.56                3.80               vargsiukas  
Pavarde1146   Vardas1146   8.40                8.40               kietiakas   
Pavarde1147   Vardas1147   5.04                5.20               kietiakas   
Pavarde1148   Vardas1148   4.52                4.20               vargsiukas  
Pavarde1149   Vardas1149   8.92                9.00               kietiakas   
Pavarde115    Vardas115    8.72                8.80               kietiakas   
Pavarde1150   Vardas1150   3.64                3.40               vargsiukas  
Pavarde1151   Vardas1151   6.00                6.40               kietiakas   
Pavarde1152   Vardas1152   8.08                7.60               kietiakas   
Pavarde1153   Vardas1153   2.12                2.20               vargsiukas  
Pavarde1154   Vardas1154   6.56                6.80               kietiakas   
Pavarde1155   Vardas1155   7.12                6.80               kietiakas   
Pavarde1156   Vardas1156   4.52                4.20               vargsiukas  
